"artist","song","years_old_13","years_old_12","years_old_11","years_old_10","years_old_9","years_old_8","years_old_7","years_old_6","years_old_5","years_old_4","years_old_3","years_old_2","years_old_1","years_old_0","years_pre_birth_1","years_pre_birth_2","years_pre_birth_3","years_pre_birth_4","years_pre_birth_5","years_pre_birth_6","years_pre_birth_7","years_pre_birth_8","years_pre_birth_9","years_pre_birth_10"
"Celine Dion","Because You Loved Me",0.75736640451704,0.783333333333333,0.73015873015873,0.787878787878788,0.788732394366197,0.641791044776119,0.611111111111111,0.369230769230769,0.587301587301587,0.378378378378378,0.381818181818182,0.25,0.456521739130435,0.288461538461538,0.342105263157895,0.15625,0.111111111111111,0.178571428571429,0,0,0,0,0,0
"Celine Dion","If You Asked Me To",0.43131105006105,0.516129032258065,0.454545454545455,0.568627450980392,0.353846153846154,0.296875,0.181818181818182,0.211538461538462,0.214285714285714,0.169491525423729,0.125,0.203703703703704,0.189189189189189,0.0655737704918033,0.087719298245614,0.0625,0.0769230769230769,0.0357142857142857,0.0909090909090909,0.0526315789473684,0.137931034482759,0.0689655172413793,0,0
"Celine Dion","It's All Coming Back To Me Now",0.70969868173258,0.621212121212121,0.682539682539683,0.620689655172414,0.593220338983051,0.625,0.557142857142857,0.507692307692308,0.514705882352941,0.361702127659574,0.314285714285714,0.333333333333333,0.24,0.302325581395349,0.243243243243243,0.25,0.21875,0.1,0,0,0,0,0,0
"Celine Dion","My Heart Will Go On",1,0.986666666666667,1,0.986486486486487,0.9875,0.981481481481482,0.948275862068966,0.984126984126984,0.956521739130435,0.911111111111111,0.975,0.980392156862745,0.95,0.942857142857143,0.961538461538462,0.962962962962963,0,0,0,0,0,0,0,0
"Celine Dion","The Power Of Love",0.772892278400234,0.636363636363636,0.724137931034483,0.779661016949153,0.566037735849057,0.633802816901408,0.571428571428571,0.528301886792453,0.608695652173913,0.520547945205479,0.536231884057971,0.545454545454545,0.392857142857143,0.43859649122807,0.478260869565217,0.291666666666667,0.218181818181818,0.35,0.3,0.285714285714286,0,0,0,0
"Celine Dion","Where Does My Heart Beat Now",0.509210138520483,0.511627906976744,0.452380952380952,0.344827586206897,0.4,0.321428571428571,0.327868852459016,0.255813953488372,0.12280701754386,0.315068493150685,0.216867469879518,0.234375,0.162162162162162,0.127272727272727,0.129032258064516,0.0545454545454545,0.133333333333333,0.138888888888889,0.0232558139534884,0.0535714285714286,0.173913043478261,0.1875,0.111111111111111,0
"Changing Faces","Stroke You Up",0.129523271506136,0.0952380952380952,0.0192307692307692,0.0819672131147541,0.135593220338983,0.0769230769230769,0.0540540540540541,0.0714285714285714,0.0606060606060606,0.0547945205479452,0.0555555555555556,0.0192307692307692,0.0930232558139535,0.0263157894736842,0.0175438596491228,0,0,0.0465116279069767,0.0256410256410256,0.032258064516129,0,0,0,0
"Cher","Believe",1,1,1,0.964912280701754,0.967213114754098,1,0.942857142857143,0.948275862068966,0.977777777777778,0.91304347826087,0.823529411764706,0.957446808510638,0.942857142857143,0.971428571428571,0.783783783783784,0,0,0,0,0,0,0,0,0
"Christina Aguilera","Genie In A Bottle",0.975847519278335,0.95,0.903225806451613,0.91304347826087,1,0.85,0.814814814814815,0.818181818181818,0.847826086956522,0.528301886792453,0.925,0.741935483870968,0.756756756756757,0.714285714285714,0.576923076923077,0,0,0,0,0,0,0,0,0
"Color Me Badd","All 4 Love",0.628609947715639,0.703703703703704,0.538461538461538,0.566037735849057,0.26530612244898,0.27027027027027,0.269230769230769,0.254545454545455,0.191176470588235,0.140625,0.0483870967741935,0.0408163265306122,0.166666666666667,0.125,0.107142857142857,0.14,0.0416666666666667,0.0869565217391304,0.0909090909090909,0.0512820512820513,0.128205128205128,0.176470588235294,0.178571428571429,0
"Color Me Badd","I Adore Mi Amor",0.383873456790123,0.457142857142857,0.333333333333333,0.18,0.2,0.121951219512195,0.0980392156862745,0.191489361702128,0.15625,0.0384615384615385,0.115942028985507,0.0727272727272727,0.0909090909090909,0.0645161290322581,0.0975609756097561,0.0517241379310345,0.0588235294117647,0.087719298245614,0.136363636363636,0.117647058823529,0.106382978723404,0.161290322580645,0,0
